 	10
a	11
b	101
c	111
d	1011
e	1101
f	10001
g	10011
h	10111
i	11101
j	11111
k	100101
l	101001
m	101011
n	101111
o	110101
p	111011
q	111101
r	1000011
s	1000111
t	1001001
u	1001111
v	1010011
w	1011001
x	1100001
y	1100101
z	1100111
A	1101011
B	1101101
C	1110001
D	1111111
E	10000011
F	10001001
G	10001011
H	10010101
I	10010111
J	10011101
K	10100011
L	10100111
M	10101101
N	10110011
O	10110101
P	10111111
Q	11000001
R	11000101
S	11000111
T	11010011
U	11011111
V	11100011
W	11100101
X	11101001
Y	11101111
Z	11110001
.	11111011
,	100000001
;	100000111
:	100001101
—	100001111
!	100010101
#	100011001
$	100011011
%	100100101
&	100110011
'	110100101
“	100111001
”	100111101
(	101001011
)	101010001
*	101011011
/	101011101
?	101100001
@	101100111
[	101101111
\	101110101
]	101111011
^	101111111
-	110000101
_	110001101
{	110010001
|	110011001
}	110100011
’	110101111
\n  110110001
\t  110110111
